Rk,Player,From,To,Draft,Tm,Lg,Games G,Games GS,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Int,Passing Pick6,Passing TD%,Passing Int%,Passing Rate,Passing Sk,Passing Yds2,Passing Sk%,Passing Y/A,Passing AY/A,Passing ANY/A,Passing Y/G,Passing W,Passing L,Passing T,Passing 4QC,Passing GWD
1,Drew Brees,2001,2019,2-32,TOT,NFL,275,274,6867,10161,67.58,77416,547,237,27,5.4,2.33,98.4,407,2902,3.9%,7.62,7.65,7.08,281.5,163,111,0,35,50
2,Tom Brady,2000,2019,6-199,NWE,NFL,285,283,6377,9988,63.85,74571,541,179,14,5.4,1.79,97.0,500,3129,4.8%,7.47,7.74,7.08,261.7,219,64,0,36,45
3,Peyton Manning,1998,2015,1-1,TOT,NFL,266,265,6125,9380,65.30,71940,539,251,27,5.7,2.68,96.5,303,1953,3.1%,7.67,7.61,7.17,270.5,186,79,0,43,54
4,Brett Favre,1991,2010,2-33,TOT,NFL,302,298,6300,10169,61.95,71838,508,336,32,5,3.30,86.0,525,3487,4.9%,7.06,6.58,5.93,237.9,186,112,0,28,43
5,Philip Rivers,2004,2019,1-4,SDG,NFL,228,224,4908,7591,64.66,59271,397,198,24,5.2,2.61,95.1,445,2714,5.5%,7.81,7.68,6.92,260.0,123,101,0,27,32
6,Eli Manning,2004,2019,1-1,NYG,NFL,236,234,4895,8119,60.29,57023,366,244,22,4.5,3.01,84.1,411,2870,4.8%,7.02,6.57,5.92,241.6,117,117,0,27,37
7,Ben Roethlisberger,2004,2019,1-11,PIT,NFL,218,216,4651,7230,64.33,56545,363,191,16,5,2.64,94.0,503,3320,6.5%,7.82,7.64,6.71,259.4,144,71,1,31,42
8,Matt Ryan,2008,2019,1-3,ATL,NFL,189,189,4460,6817,65.42,51186,321,147,17,4.7,2.16,94.6,369,2446,5.1%,7.51,7.48,6.76,270.8,109,80,0,30,38
9,Aaron Rodgers,2005,2019,1-24,GNB,NFL,181,174,3913,6061,64.56,46946,364,84,2,6,1.39,102.4,448,2968,6.9%,7.75,8.32,7.29,259.4,113,60,1,16,23
10,Carson Palmer,2004,2017,1-1,TOT,NFL,182,181,3941,6307,62.49,46247,294,187,22,4.7,2.96,87.9,340,2364,5.1%,7.33,6.93,6.22,254.1,92,88,1,22,35
11,Vinny Testaverde,1987,2007,1-1,TOT,NFL,233,214,3787,6701,56.51,46233,275,267,23,4.1,3.98,75.0,417,2992,5.9%,6.90,5.93,5.16,198.4,90,123,1,29,33
12,Dan Marino,1987,1999,1-27,MIA,NFL,183,183,3718,6308,58.94,45184,278,185,25,4.4,2.93,83.5,212,1454,3.3%,7.16,6.72,6.28,246.9,106,77,0,26,35
13,Drew Bledsoe,1993,2006,1-1,TOT,NFL,194,193,3839,6717,57.15,44611,251,206,15,3.7,3.07,77.1,467,3135,6.5%,6.64,6.01,5.18,230.0,98,95,0,24,31
14,Matthew Stafford,2009,2019,1-1,DET,NFL,149,149,3559,5696,62.48,41025,256,134,20,4.5,2.35,89.3,347,2242,5.7%,7.20,7.04,6.27,275.3,69,79,1,28,34
15,Kerry Collins,1995,2011,1-5,TOT,NFL,198,180,3487,6261,55.69,40922,208,196,20,3.3,3.13,73.8,337,2230,5.1%,6.54,5.79,5.16,206.7,81,99,0,21,30
16,Joe Flacco,2008,2019,1-18,TOT,NFL,171,171,3670,5932,61.87,40067,218,141,10,3.7,2.38,84.1,359,2554,5.7%,6.75,6.42,5.65,234.3,98,73,0,18,24
17,John Elway,1987,1998,1-1,DEN,NFL,176,175,3179,5502,57.78,39838,234,161,13,4.3,2.93,82.4,394,2869,6.7%,7.24,6.77,5.84,226.4,110,64,1,21,30
18,Warren Moon,1987,2000,,TOT,NFL,163,158,3273,5508,59.42,39789,251,174,12,4.6,3.16,83.7,324,2346,5.6%,7.22,6.71,5.94,244.1,90,68,0,22,30
19,Donovan McNabb,1999,2011,1-2,TOT,NFL,167,161,3170,5374,58.99,37276,234,117,7,4.4,2.18,85.6,410,2626,7.1%,6.94,6.83,5.89,223.2,98,62,1,16,24
20,Matt Hasselbeck,1999,2015,6-187,TOT,NFL,209,160,3222,5330,60.45,36638,212,153,13,4,2.87,82.4,360,2260,6.3%,6.87,6.38,5.58,175.3,85,75,0,15,24
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
21,Jay Cutler,2006,2017,1-11,TOT,NFL,153,153,3048,4920,61.95,35133,227,160,19,4.6,3.25,85.3,322,2035,6.1%,7.14,6.60,5.81,229.6,74,79,0,23,28
22,Tony Romo,2004,2016,,DAL,NFL,156,127,2829,4335,65.26,34183,248,117,13,5.7,2.70,97.1,248,1672,5.4%,7.89,7.81,7.03,219.1,78,49,0,24,29
23,Alex Smith,2005,2018,1-1,TOT,NFL,166,161,3082,4941,62.38,34068,193,101,8,3.9,2.04,87.3,410,2324,7.7%,6.89,6.76,5.80,205.2,94,66,1,18,22
24,Jim Everett,1987,1997,1-3,TOT,NFL,152,148,2768,4776,57.96,33819,195,167,13,4.1,3.50,78.9,249,1835,5.0%,7.08,6.32,5.65,222.5,61,87,0,11,14
25,Troy Aikman,1989,2000,1-1,DAL,NFL,165,165,2898,4715,61.46,32942,165,141,11,3.5,2.99,81.6,259,1748,5.2%,6.99,6.34,5.66,199.6,94,71,0,15,20
26,Ryan Fitzpatrick,2005,2019,7-250,TOT,NFL,156,139,2886,4787,60.29,32886,210,161,13,4.4,3.36,81.6,285,1509,5.6%,6.87,6.23,5.59,210.8,55,83,1,12,17
27,Kurt Warner,1998,2009,,TOT,NFL,124,116,2666,4070,65.50,32344,208,128,15,5.1,3.14,93.7,260,1669,6.0%,7.95,7.55,6.71,260.8,67,49,0,7,11
28,Mark Brunell,1994,2011,5-118,TOT,NFL,193,151,2761,4640,59.50,32072,184,108,14,4,2.33,84.0,390,2395,7.8%,6.91,6.66,5.67,166.2,78,73,0,16,22
29,Jim Kelly,1987,1996,1-14,BUF,NFL,144,144,2589,4299,60.22,31874,215,158,12,5,3.68,84.5,280,2097,6.1%,7.41,6.76,5.89,221.3,97,47,0,21,28
30,Andy Dalton,2011,2019,2-35,CIN,NFL,133,133,2757,4449,61.97,31594,204,118,14,4.6,2.65,87.5,278,1738,5.9%,7.10,6.82,6.06,237.5,70,61,2,20,24
31,Steve McNair,1995,2007,1-3,TOT,NFL,161,153,2733,4544,60.15,31304,174,119,13,3.8,2.62,82.8,254,1567,5.3%,6.89,6.48,5.81,194.4,91,62,0,15,21
32,Boomer Esiason,1987,1997,2-38,TOT,NFL,146,139,2394,4203,56.96,29988,193,152,11,4.6,3.62,79.5,255,1903,5.7%,7.13,6.43,5.63,205.4,60,79,0,14,20
33,Steve Young,1987,1999,1-1,SFO,NFL,150,124,2400,3648,65.79,29907,221,86,4,6.1,2.36,101.4,290,1571,7.4%,8.20,8.35,7.34,199.4,91,33,0,12,15
34,Jon Kitna,1997,2011,,TOT,NFL,141,124,2677,4442,60.27,29745,169,165,17,3.8,3.71,77.4,323,1987,6.8%,6.70,5.79,4.98,211.0,50,74,0,18,22
35,Russell Wilson,2012,2019,3-75,SEA,NFL,128,128,2436,3777,64.50,29734,227,68,5,6,1.80,101.2,347,2271,8.4%,7.87,8.26,7.02,232.3,86,41,1,21,28
36,Jake Plummer,1997,2006,2-42,TOT,NFL,143,136,2484,4350,57.10,29253,161,161,13,3.7,3.70,74.6,284,1735,6.1%,6.72,5.80,5.07,204.6,69,67,0,20,30
37,Brad Johnson,1994,2008,9-227,TOT,NFL,177,125,2668,4326,61.67,29054,166,122,12,3.8,2.82,82.5,251,1616,5.5%,6.72,6.21,5.52,164.1,72,53,0,14,27
38,Cam Newton,2011,2019,1-1,CAR,NFL,125,124,2371,3980,59.57,29041,182,108,10,4.6,2.71,86.1,291,2199,6.8%,7.30,6.99,6.00,232.3,68,55,1,15,17
39,Rich Gannon,1987,2004,4-98,TOT,NFL,157,132,2533,4206,60.22,28743,180,104,6,4.3,2.47,84.7,302,1689,6.7%,6.83,6.58,5.76,183.1,76,56,0,16,20
40,Chris Chandler,1988,2004,3-76,TOT,NFL,180,152,2328,4005,58.13,28484,170,146,13,4.2,3.65,79.1,380,2590,8.7%,7.11,6.32,5.18,158.2,67,85,0,10,15
41,Trent Green,1997,2008,8-222,TOT,NFL,120,113,2266,3740,60.59,28475,162,114,6,4.3,3.05,86.0,259,1621,6.5%,7.61,7.11,6.24,237.3,56,57,0,15,19
42,Randall Cunningham,1987,2001,2-37,TOT,NFL,140,126,2284,3999,57.11,28040,198,119,3,5,2.98,83.0,392,2898,8.9%,7.01,6.66,5.41,200.3,80,46,0,18,22
43,Jeff George,1990,2001,1-1,TOT,NFL,131,124,2298,3967,57.93,27602,154,113,12,3.9,2.85,80.4,358,2691,8.3%,6.96,6.45,5.30,210.7,46,78,0,8,17
44,Jim Harbaugh,1987,2000,1-26,TOT,NFL,177,140,2305,3918,58.83,26288,129,117,6,3.3,2.99,77.6,361,2132,8.4%,6.71,6.02,5.02,148.5,66,74,0,15,19
45,Jeff Garcia,1999,2009,,TOT,NFL,125,116,2264,3676,61.59,25537,161,83,11,4.4,2.26,87.5,181,947,4.7%,6.95,6.81,6.24,204.3,58,58,0,11,17
46,Matt Schaub,2004,2019,3-90,TOT,NFL,154,93,2148,3348,64.16,25467,136,91,14,4.1,2.72,89.5,180,1245,5.1%,7.61,7.20,6.48,165.4,47,46,0,11,14
47,Dave Krieg,1987,1998,,TOT,NFL,146,116,2059,3489,59.01,24470,154,126,8,4.4,3.61,80.2,301,2264,7.9%,7.01,6.27,5.18,167.6,61,55,0,16,17
48,Daunte Culpepper,1999,2009,1-11,TOT,NFL,105,100,2016,3199,63.02,24153,149,106,7,4.7,3.31,87.8,298,1696,8.5%,7.55,6.99,5.91,230.0,41,59,0,11,17
49,Kirk Cousins,2012,2019,4-102,TOT,NFL,93,88,2104,3146,66.88,24107,155,71,10,4.9,2.26,96.8,174,1315,5.2%,7.66,7.63,6.84,259.2,44,42,2,10,13
50,Steve Beuerlein,1988,2003,4-110,TOT,NFL,147,102,1894,3328,56.91,24046,147,112,6,4.4,3.37,80.3,332,2124,9.1%,7.23,6.59,5.42,163.6,47,55,0,13,16
51,Andrew Luck,2012,2018,1-1,CLT,NFL,86,86,2000,3290,60.79,23671,171,83,10,5.2,2.52,89.5,174,1124,5.0%,7.19,7.10,6.42,275.2,53,33,0,16,20
52,Ryan Tannehill,2012,2019,1-8,TOT,NFL,100,98,2030,3197,63.50,23176,145,81,9,4.5,2.53,89.8,279,2097,8.0%,7.25,7.02,5.85,231.8,49,49,0,17,16
53,Marc Bulger,2002,2009,6-168,RAM,NFL,96,95,1969,3171,62.09,22814,122,93,10,3.8,2.93,84.4,254,1863,7.4%,7.19,6.64,5.61,237.6,41,54,0,12,16
54,Derek Carr,2014,2019,2-36,RAI,NFL,94,94,2120,3313,63.99,22793,143,62,8,4.3,1.87,90.7,171,1042,4.9%,6.88,6.90,6.26,242.5,39,55,0,18,19
55,Michael Vick,2001,2015,1-1,TOT,NFL,143,115,1807,3217,56.17,22464,133,88,6,4.1,2.74,80.4,316,1879,8.9%,6.98,6.58,5.46,157.1,61,51,1,14,15
56,Jeff Blake,1992,2005,6-166,TOT,NFL,119,100,1827,3241,56.37,21711,134,99,12,4.1,3.05,78.0,248,1550,7.1%,6.70,6.15,5.27,182.4,39,61,0,12,16
57,Neil O'Donnell,1991,2003,3-70,TOT,NFL,125,100,1865,3229,57.76,21690,120,68,8,3.7,2.11,81.8,259,1906,7.4%,6.72,6.51,5.48,173.5,55,45,0,15,18
58,Gus Frerotte,1994,2008,7-197,TOT,NFL,147,93,1699,3106,54.70,21291,114,106,10,3.7,3.41,74.2,207,1328,6.2%,6.85,6.05,5.27,144.8,45,47,1,8,10
59,Jake Delhomme,1999,2011,,TOT,NFL,103,96,1741,2932,59.38,20975,126,101,13,4.3,3.44,81.3,168,1267,5.4%,7.15,6.46,5.70,203.6,56,40,0,19,24
60,Trent Dilfer,1994,2007,1-6,TOT,NFL,130,113,1759,3172,55.45,20518,113,129,13,3.6,4.07,70.2,263,1730,7.7%,6.47,5.35,4.44,157.8,58,55,0,14,15
61,Aaron Brooks,2000,2006,4-131,TOT,NFL,93,90,1673,2963,56.46,20261,123,92,5,4.2,3.10,78.5,235,1454,7.3%,6.84,6.27,5.36,217.9,38,52,0,12,18
62,Bobby Hebert,1987,1996,,TOT,NFL,107,91,1701,2861,59.45,19977,128,112,10,4.5,3.91,79.3,156,1071,5.2%,6.98,6.12,5.44,186.7,53,38,0,11,15
63,Jameis Winston,2015,2019,1-1,TAM,NFL,72,70,1563,2548,61.34,19737,121,88,11,4.7,3.45,86.9,169,1075,6.2%,7.75,7.14,6.30,274.1,28,42,0,7,11
64,Sam Bradford,2010,2018,1-1,TOT,NFL,83,83,1855,2967,62.52,19449,103,61,8,3.5,2.06,84.5,196,1371,6.2%,6.56,6.32,5.50,234.3,34,48,1,7,8
65,Brian Griese,1998,2008,3-91,TOT,NFL,93,83,1752,2796,62.66,19440,119,99,12,4.3,3.54,82.7,193,1326,6.5%,6.95,6.21,5.37,209.0,44,38,0,9,12
66,Chris Miller,1987,1999,1-13,TOT,NFL,98,92,1580,2892,54.63,19320,123,102,10,4.3,3.53,74.9,209,1527,6.7%,6.68,5.94,5.05,197.1,34,58,0,8,11
67,Joe Montana,1987,1994,3-82,TOT,NFL,81,77,1591,2513,63.31,19053,132,63,2,5.3,2.51,93.5,150,933,5.6%,7.58,7.50,6.73,235.2,60,17,0,15,18
68,Mark Rypien,1988,2001,6-146,TOT,NFL,104,78,1466,2613,56.10,18473,115,88,7,4.4,3.37,78.9,97,664,3.6%,7.07,6.43,5.96,177.6,47,31,0,8,12
69,Kyle Orton,2005,2014,4-106,TOT,NFL,87,82,1613,2712,59.48,18037,101,69,7,3.7,2.54,81.2,165,1016,5.7%,6.65,6.25,5.54,207.3,42,40,0,8,9
70,Bernie Kosar,1987,1996,1-1,TOT,NFL,98,82,1560,2586,60.32,17869,99,70,6,3.8,2.71,82.6,215,1265,7.7%,6.91,6.46,5.51,182.3,37,44,1,8,8
71,Chad Pennington,2000,2010,1-18,TOT,NFL,89,81,1632,2471,66.05,17823,102,64,6,4.1,2.59,90.1,162,965,6.2%,7.21,6.87,6.08,200.3,44,37,0,7,10
72,Josh McCown,2002,2019,3-81,TOT,NFL,102,76,1584,2633,60.16,17731,98,82,5,3.7,3.11,79.7,235,1563,8.2%,6.73,6.08,5.03,173.8,23,53,0,6,7
73,Blake Bortles,2014,2019,1-3,TOT,NFL,78,73,1562,2634,59.30,17649,103,75,13,3.9,2.85,80.6,195,1158,6.9%,6.70,6.20,5.36,226.3,24,49,0,6,8
74,Matt Cassel,2005,2018,7-230,TOT,NFL,108,81,1578,2683,58.81,17508,104,82,10,3.9,3.06,78.5,210,1157,7.3%,6.53,5.93,5.10,162.1,36,45,0,9,12
75,Stan Humphries,1989,1997,6-159,TOT,NFL,88,81,1431,2516,56.88,17191,89,84,11,3.5,3.34,75.8,144,1182,5.4%,6.83,6.04,5.27,195.4,50,31,0,8,10
76,Elvis Grbac,1994,2001,8-219,TOT,NFL,105,70,1446,2445,59.14,16774,99,81,12,4,3.31,79.6,129,907,5.0%,6.86,6.18,5.52,159.8,40,30,0,8,13
77,Jason Campbell,2006,2014,1-25,TOT,NFL,90,79,1519,2518,60.33,16771,87,60,5,3.5,2.38,81.7,170,1096,6.3%,6.66,6.28,5.47,186.3,32,47,0,7,10
78,Steve DeBerg,1987,1998,10-275,TOT,NFL,91,68,1335,2302,57.99,16550,94,72,6,4.1,3.13,80.9,137,1163,5.6%,7.19,6.60,5.75,181.9,35,32,1,10,11
79,Jeff Hostetler,1988,1997,3-59,TOT,NFL,134,83,1357,2338,58.04,16430,94,71,7,4,3.04,80.5,207,1158,8.1%,7.03,6.46,5.48,122.6,51,32,0,8,10
80,Rodney Peete,1989,2004,6-141,TOT,NFL,104,87,1344,2346,57.29,16338,76,92,7,3.2,3.92,73.3,244,1372,9.4%,6.96,5.85,4.77,157.1,45,42,0,9,14
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
81,Ken O'Brien,1987,1993,1-24,TOT,NFL,88,75,1397,2429,57.51,16114,72,63,4,3,2.59,76.7,229,1734,8.6%,6.63,6.06,4.89,183.1,30,44,1,8,11
82,David Garrard,2002,2010,4-108,JAX,NFL,86,76,1406,2281,61.64,16003,89,54,4,3.9,2.37,85.8,179,1115,7.3%,7.02,6.73,5.79,186.1,39,37,0,10,17
83,Phil Simms,1987,1993,1-7,NYG,NFL,79,77,1250,2155,58.00,15877,95,54,6,4.4,2.51,85.4,209,1341,8.8%,7.37,7.12,5.92,201.0,48,29,0,7,9
84,Dak Prescott,2016,2019,4-135,DAL,NFL,64,64,1363,2071,65.81,15778,97,36,4,4.7,1.74,97.0,136,826,6.2%,7.62,7.77,6.92,246.5,40,24,0,8,14
85,Scott Mitchell,1991,2001,4-93,TOT,NFL,99,71,1301,2346,55.46,15692,95,81,7,4,3.45,75.3,155,882,6.2%,6.69,5.95,5.22,158.5,32,39,0,6,9
86,Mark Sanchez,2009,2018,1-5,TOT,NFL,79,73,1314,2320,56.64,15357,86,89,9,3.7,3.84,73.2,168,1090,6.8%,6.62,5.63,4.82,194.4,37,36,0,8,10
87,Erik Kramer,1987,1999,,TOT,NFL,83,67,1317,2299,57.29,15337,92,79,4,4,3.44,76.6,122,788,5.0%,6.67,5.93,5.30,184.8,31,36,0,11,14
88,Tony Banks,1996,2005,2-42,TOT,NFL,96,78,1278,2356,54.24,15315,77,73,7,3.3,3.10,72.4,227,1432,8.8%,6.50,5.76,4.70,159.5,35,43,0,5,7
89,Mike Tomczak,1987,1999,,TOT,NFL,166,66,1172,2180,53.76,14941,86,96,5,3.9,4.40,70.2,110,779,4.8%,6.85,5.66,5.05,90.0,35,31,0,4,9
