Rk,Player,From,To,School,G,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Passing Int,Passing Rate
105,Bryant Moniz,2009,2011,Hawaii,34,791,1271,62.2,10169,75,30,144.2
106,Dan Orlovsky,2002,2004,Connecticut,36,788,1298,60.7,9327,75,40,134.0
107,Keith Price,2010,2013,Washington,43,757,1183,64.0,8921,75,30,143.2
108,Brandon Weeden,2008,2011,Oklahoma State,30,766,1102,69.5,9260,75,27,157.7
109,Alex Carder,2009,2012,Western Michigan,37,769,1215,63.3,8886,74,36,138.9
110,Nate Davis,2006,2008,Ball State,39,678,1124,60.3,9233,74,22,147.1
111,Nathan Enderle,2007,2010,Idaho,45,779,1427,54.6,10084,74,60,122.7
112,Dave Ragone,2000,2002,Louisville,36,684,1179,58.0,8557,74,29,134.8
113,P.J. Walker,2013,2016,Temple,49,830,1458,56.9,10668,74,44,129.1
114,Mike White,2013,2017,,44,863,1393,62.0,11262,74,31,142.9
115,Zac Dysert,2009,2012,Miami (OH),45,1066,1672,63.8,12013,73,51,132.4
116,Ben Hicks,2016,2019,,44,783,1403,55.8,9819,73,36,126.6
117,Matt Johnson,2012,2015,Bowling Green State,33,655,1002,65.4,8846,73,16,160.4
118,Gary Nova,2011,2014,Rutgers,46,689,1245,55.3,9258,73,51,129.0
119,Erik Ainge,2004,2007,Tennessee,43,733,1210,60.6,8700,72,35,134.8
120,Teddy Bridgewater,2011,2013,Louisville,39,781,1142,68.4,9817,72,24,157.2
Rk,Player,From,To,School,G,Cmp,Att,Pct,Yds,TD,Int,Rate
121,David Greene,2001,2004,Georgia,51,849,1440,59.0,11528,72,32,138.3
122,Chase Litton,2015,2017,Marshall,34,728,1198,60.8,8335,72,31,133.9
123,McKenzie Milton,2016,2018,Central Florida,33,630,1020,61.8,8683,72,22,152.3
124,Adam Weber,2007,2010,Minnesota,50,909,1594,57.0,10917,72,51,123.1
125,Brian Brohm,2004,2007,Louisville,44,780,1185,65.8,10775,71,24,157.9
126,Connor Cook,2012,2015,Michigan State,42,673,1170,57.5,9194,71,22,139.8
127,Andy Dalton,2007,2010,Texas Christian,50,812,1317,61.7,10314,71,30,140.7
128,Quinton Flowers,2014,2017,South Florida,43,565,980,57.7,8124,71,23,146.5
129,Darrell Hackney,2002,2005,Alabama-Birmingham,41,695,1247,55.7,9886,71,33,135.8
130,Omar Jacobs,2003,2005,Bowling Green State,24,523,811,64.5,6937,71,11,162.5
131,Brandon Silvers,2014,2017,Troy,48,968,1503,64.4,10677,71,29,135.8
132,Riley Ferguson,2016,2017,Memphis,26,579,917,63.1,7955,70,19,157.1
133,Jacory Harris,2008,2011,Miami (FL),47,703,1170,60.1,8826,70,48,135.0
134,Cole McDonald,2017,2019,Hawaii,33,616,1004,61.4,8032,70,24,146.8
135,Ryan Nassib,2009,2012,Syracuse,46,791,1312,60.3,9190,70,28,132.5
136,John Navarre,2000,2003,Michigan,43,744,1327,56.1,9014,70,30,126.0
137,Dak Prescott,2012,2015,Mississippi State,49,734,1169,62.8,9376,70,23,146.0
138,Tyler Sheehan,2006,2009,Bowling Green State,42,966,1494,64.7,10117,70,31,132.9
139,Nick Stevens,2014,2017,Colorado State,41,638,1031,61.9,8554,70,27,148.7
140,David Blough,2015,2018,Purdue,44,871,1429,61.0,9734,69,43,128.1
Rk,Player,From,To,School,G,Cmp,Att,Pct,Yds,TD,Int,Rate
141,Tyler Bray,2010,2012,Tennessee,28,540,922,58.6,7444,69,28,145.0
142,Seth Doege,2009,2012,Texas Tech,29,819,1187,69.0,8636,69,26,144.9
143,Jason Gesser,2000,2002,Washington State,33,548,983,55.7,8104,69,33,141.4
144,Lamar Jackson,2015,2017,Louisville,38,619,1086,57.0,9043,69,27,142.9
145,Brad Kaaya,2014,2016,Miami (FL),38,720,1188,60.6,9968,69,24,146.2
146,Ryan Mallett,2007,2010,,37,552,955,57.8,8385,69,24,150.4
147,Tyler Rogers,2014,2017,New Mexico State,39,911,1540,59.2,10364,69,56,123.2
148,Dominique Davis,2008,2011,,31,790,1241,63.7,7933,68,39,129.2
149,Darian Durant,2001,2004,North Carolina,44,701,1159,60.5,8755,68,38,136.7
150,Sam Ehlinger,2017,2019,Texas,36,729,1154,63.2,8870,68,22,143.4
151,Chandler Harnish,2008,2011,Northern Illinois,47,687,1110,61.9,8944,68,26,145.1
152,Shea Patterson,2016,2019,,36,662,1098,60.3,8800,68,27,143.1
153,Nathan Stanley,2016,2019,Iowa,44,673,1155,58.3,8297,68,23,134.1
154,Ryan Aplin,2009,2012,Arkansas State,46,907,1408,64.4,10753,67,37,139.0
155,Tommy Armstrong Jr,2013,2016,Nebraska,45,625,1172,53.3,8871,67,44,128.3
